CheckpointID,SimulationID,Zone,Date,Year,DOY,StageName,Stage,SimSowDate,SimMatDate,SimHarvestDate,Rain,Radn,MaxT,MeanT,MinT,ThermalTime,AccEmTT,SoilTemp,PAWmm,NH4,NO3,Urea,OrganicC,NutrientStress,TempStress,WaterStress,Result,SimulationName,ID
1,1,Field,2020-05-26 12:00:00,2020,147,Emerging,2.989360599899728,NA,NA,NA,0.029999999329447746,28.6200008392334,30.450000762939453,23.755000114440918,17.059999465942383,15.771924835136202,0,14.545451605200476,354.7154544759828,141.99007582185035,96.67211332077409,4.2134155339696235,78995.17372174654,1,1,1,NA,Simulation,60
1,1,Field,2020-05-27 12:00:00,2020,148,Juvenile,3.065840234685671,NA,NA,NA,0.009999999776482582,23.489999771118164,28.139999389648438,23.059999465942383,17.979999542236328,15.059999465942385,15.059999465942385,15.61215056991849,353.1364440167206,127.54415933637091,113.09369270228788,2.3028824794250693,78989.96984847043,1,1,1,NA,Simulation,60
1,1,Field,2020-05-28 12:00:00,2020,149,Juvenile,3.126009896714139,NA,NA,NA,1.0700000524520874,13.8100004196167,24.860000610351563,20.875,16.889999389648438,12.936477336120605,27.99647680206299,16.508694359465707,351.66655102199485,113.74776271208127,128.01904670243317,1.2751628590258013,78984.88907435672,1,1,1,NA,Simulation,60
1,1,Field,2020-05-29 12:00:00,2020,150,Juvenile,3.187388577094263,NA,NA,NA,6.900000095367432,17.729999542236328,26.209999084472656,21.03999948501587,15.869999885559082,13.196416281726625,41.19289308378961,16.892246100072605,354.0467414589292,101.913618359143,140.5464637770801,0.7292257640332317,78991.92734856717,1,1,1,NA,Simulation,60
1,1,Field,2020-05-30 12:00:00,2020,151,Juvenile,3.227729404971162,NA,NA,NA,0.6399999856948853,21.899999618530273,20.440000534057617,15.240000247955322,10.039999961853027,8.673277993533347,49.86617107732296,16.98391147821104,351.5514438640377,91.75814017847671,151.11261468569018,0.4287693038550351,78992.56299279831,1,1,1,NA,Simulation,60
1,1,Field,2020-05-31 12:00:00,2020,152,Juvenile,3.254253952429781,NA,NA,NA,0.05000000074505806,24.610000610351563,14.029999732971191,10.264999866485596,6.5,5.702777703603109,55.56894878092607,16.79759157596013,350.19885672735154,83.57752706735832,159.54442754256408,0.26174944399876915,78990.27540173983,1,0.5924999713897705,1,NA,Simulation,60
1,1,Field,2020-06-01 12:00:00,2020,153,Juvenile,3.2861932949794666,NA,NA,NA,0.009999999776482582,25.979999542236328,18.899999618530273,12.309999704360962,5.71999979019165,6.866958648182287,62.435907429108354,16.419157748727333,348.9603171353635,76.51780304837395,166.77062495690484,0.16305932683612448,78988.01383487065,1,1,1,NA,Simulation,60
1,1,Field,2020-06-02 12:00:00,2020,154,Juvenile,3.3260957075449538,NA,NA,NA,1.4700000286102295,12.65999984741211,20.84000015258789,14.994999885559082,9.149999618530273,8.579018701579836,71.0149261306882,16.142960008449645,347.80112633105244,70.12694677541123,173.289664723137,0.10255018420654562,78986.22630523928,1,1,1,NA,Simulation,60
1,1,Field,2020-06-03 12:00:00,2020,155,Juvenile,3.380189824521665,NA,NA,NA,5.480000019073486,13.300000190734863,22.610000610351563,19.480000495910645,16.350000381469727,11.630235149992835,82.64516128068104,15.906761987639543,350.0763604622804,63.93307802848061,179.62426506396608,0.0641806430533266,78991.91012349931,0.9999999999999998,1,1,NA,Simulation,60
1,1,Field,2020-06-04 12:00:00,2020,156,Juvenile,3.44146068158658,NA,NA,NA,0.5199999809265137,24.670000076293945,28.1200008392334,20.675000190734863,13.229999542236328,13.173234268956714,95.81839554963776,15.952656927688432,346.92444681930607,57.040569755446924,186.62570375141695,0.038868574233461205,78994.60969055761,1,1,1,NA,Simulation,60
