CheckpointID,SimulationID,Zone,Date,Year,DOY,StageName,Stage,SimSowDate,SimMatDate,SimHarvestDate,Rain,Radn,MaxT,MeanT,MinT,ThermalTime,AccEmTT,SoilTemp,PAWmm,NH4,NO3,Urea,OrganicC,FracGrowthRate,NutrientStress,TempStress,WaterStress,Result,SimulationName,ID
1,1,Field,2018-08-06 12:00:00,2018,218,EarlyPodDevelopment,5.771795442508769,NA,NA,NA,2.4200000762939453,19.700000762939453,26.780000686645508,20.855000495910645,14.930000305175781,10.728740886876142,610.9724680402115,19.005358263541336,337.40844476694156,2.0200933836072488,212.84801766248864,2.56627787892058e-10,78914.22586982495,1,1,1,0.9999999999999998,NA,Simulation,3
1,1,Field,2018-08-07 12:00:00,2018,219,EarlyPodDevelopment,5.838853270787172,NA,NA,NA,0.8199999928474426,18.639999389648438,26.239999771118164,21.515000343322754,16.790000915527344,11.466888635606871,622.4393566758184,19.000524080676733,333.59526104325954,2.0128508654314943,212.09080234789235,2.0177261738574135e-10,78911.53421583422,1,1,1,0.9999999999999999,NA,Simulation,3
1,1,Field,2018-08-08 12:00:00,2018,220,EarlyPodDevelopment,5.917221398385712,NA,NA,NA,0.5400000214576721,25.06999969482422,31.93000030517578,24.15000057220459,16.3700008392334,13.400949819350242,635.8403064951686,18.991474947328868,328.68535535960996,2.00427869873676,211.2460790566059,1.5889893849485543e-10,78908.79189871425,1,1,1,0.9999999999999999,NA,Simulation,3
1,1,Field,2018-08-09 12:00:00,2018,221,EarlyPodDevelopment,5.995203854749144,NA,NA,NA,0.009999999776482582,24.40999984741211,29.649999618530273,23.335000038146973,17.020000457763672,13.335000038146974,649.1753065333156,19.148208561510508,323.26544466124534,1.9926880147044743,210.3008817536223,1.2532789818303497e-10,78905.90280098883,1,1,1,0.9999999999999998,NA,Simulation,3
1,1,Field,2018-08-10 12:00:00,2018,222,MidGrainFilling,7.076065667069532,NA,NA,NA,0,24.200000762939453,30.1200008392334,24.515000343322754,18.90999984741211,14.515000343322756,663.6903068766384,19.42458379173032,319.45263610070475,1.9772764292190617,209.27723789327268,9.899381165458561e-11,78902.8132513806,1,1,1,1,NA,Simulation,3
1,1,Field,2018-08-11 12:00:00,2018,223,MidGrainFilling,7.257012976991772,NA,NA,NA,0,22.3799991607666,30.469999313354492,23.6899995803833,16.90999984741211,13.666045581877235,677.3563524585156,19.821432181533854,315.92192308912666,1.959708310098103,208.28459686894345,7.83006718828051e-11,78899.53948243745,1,1,1,0.9999999999999999,NA,Simulation,3
1,1,Field,2018-08-12 12:00:00,2018,224,MidGrainFilling,7.444208041286115,NA,NA,NA,0,23.81999969482422,31.510000228881836,24.65499973297119,17.799999237060547,14.137907230830194,691.4942596893459,20.188449944442496,312.3152439782662,1.9414553116034812,207.3151568787172,6.201308062369034e-11,78896.14170461711,1,1,1,0.9999999999999997,NA,Simulation,3
1,1,Field,2018-08-13 12:00:00,2018,225,MidGrainFilling,7.634085245110973,NA,NA,NA,0.10999999940395355,25.690000534057617,32.83000183105469,25.83500099182129,18.84000015258789,14.34047581887245,705.8347355082184,20.588661905195046,308.6938825223111,1.920468181659183,206.37943992006134,4.9172871387233986e-11,78892.53743701056,1,1,1,0.9999999999999999,NA,Simulation,3
1,1,Field,2018-08-14 12:00:00,2018,226,MidGrainFilling,7.78959667628255,NA,NA,NA,3.75,15.069999694824219,25.3700008392334,21.7450008392334,18.1200008392334,11.7450008392334,717.5797363474518,20.957081838439183,307.3590114873806,1.9068477317242267,205.43699558983485,3.903524260971056e-11,78889.09263776963,1,1,1,0.9999999999999998,NA,Simulation,3
1,1,Field,2018-08-15 12:00:00,2018,227,MidGrainFilling,7.939745629288188,NA,NA,NA,0.019999999552965164,20.559999465942383,28.299999237060547,21.339999675750732,14.380000114440918,11.339999675750732,728.9197360232025,20.824906847205636,303.75721697828243,1.902284969854674,204.4647343071775,3.10204001464355e-11,78886.03900473946,1,1,1,0.9999999999999998,NA,Simulation,3
